iter	Passed	Remaining
566	2132	1628
567	2134	1623
568	2137	1619
569	2140	1614
570	2145	1611
571	2147	1607
572	2150	1602
573	2153	1598
574	2156	1593
575	2160	1590
576	2162	1585
577	2165	1581
578	2167	1576
579	2170	1571
580	2173	1567
581	2176	1563
582	2179	1558
583	2181	1554
584	2184	1549
585	2187	1545
586	2190	1541
587	2193	1536
588	2195	1532
589	2198	1527
590	2201	1523
591	2204	1519
592	2207	1514
593	2209	1510
594	2212	1505
595	2214	1501
596	2217	1496
597	2220	1492
598	2223	1488
599	2225	1483
600	2228	1479
601	2231	1475
602	2234	1471
603	2237	1466
604	2240	1462
605	2243	1458
606	2245	1453
607	2248	1449
608	2251	1445
609	2254	1441
610	2256	1436
611	2259	1432
612	2262	1428
613	2266	1424
614	2269	1420
615	2272	1416
616	2275	1412
617	2278	1408
618	2284	1406
619	2288	1402
620	2291	1398
621	2294	1394
622	2298	1390
623	2300	1386
624	2303	1381
625	2305	1377
626	2308	1373
627	2312	1369
628	2314	1365
629	2317	1360
630	2320	1356
631	2322	1352
632	2325	1348
633	2329	1345
634	2332	1340
635	2336	1336
636	2338	1332
637	2342	1329
638	2345	1325
639	2348	1320
640	2350	1316
641	2353	1312
642	2356	1308
643	2359	1304
644	2362	1300
645	2364	1295
646	2366	1291
647	2369	1287
648	2373	1283
649	2376	1279
650	2379	1275
651	2382	1271
652	2385	1267
653	2389	1264
654	2391	1259
655	2394	1255
656	2396	1251
657	2399	1247
658	2402	1243
659	2405	1239
660	2408	1235
661	2410	1230
662	2413	1226
663	2416	1222
664	2419	1219
665	2422	1214
666	2425	1210
667	2427	1206
668	2430	1202
669	2433	1198
670	2436	1194
671	2439	1190
672	2441	1186
673	2444	1182
674	2447	1178
675	2450	1174
676	2453	1170
677	2456	1166
678	2458	1162
679	2461	1158
680	2464	1154
681	2467	1150
682	2469	1146
683	2472	1142
684	2474	1138
685	2477	1134
686	2481	1130
687	2483	1126
688	2486	1122
689	2488	1118
690	2491	1114
691	2495	1110
692	2497	1106
693	2500	1102
694	2502	1098
695	2505	1094
696	2508	1090
697	2512	1086
698	2514	1082
699	2517	1079
700	2520	1075
701	2523	1071
702	2526	1067
703	2529	1063
704	2532	1059
705	2535	1055
706	2537	1051
707	2541	1048
708	2544	1044
709	2546	1040
710	2549	1036
711	2552	1032
712	2555	1028
713	2558	1024
714	2561	1020
715	2563	1016
716	2565	1012
717	2568	1008
