iter	Passed	Remaining
815	3030	683
816	3033	679
817	3036	675
818	3039	671
819	3042	667
820	3045	663
821	3048	660
822	3051	656
823	3054	652
824	3057	648
825	3060	644
826	3063	640
827	3066	636
828	3069	633
829	3072	629
830	3075	625
831	3078	621
832	3081	617
833	3084	613
834	3087	610
835	3090	606
836	3093	602
837	3096	598
838	3100	594
839	3103	591
840	3106	587
841	3109	583
842	3112	579
843	3115	575
844	3118	572
845	3121	568
846	3124	564
847	3127	560
848	3130	556
849	3134	553
850	3137	549
851	3139	545
852	3143	541
853	3146	537
854	3150	534
855	3153	530
856	3156	526
857	3159	522
858	3162	519
859	3165	515
860	3168	511
861	3171	507
862	3175	504
863	3178	500
864	3181	496
865	3184	492
866	3187	489
867	3190	485
868	3194	481
869	3197	477
870	3200	473
871	3203	470
872	3206	466
873	3209	462
874	3212	458
875	3215	455
876	3219	451
877	3222	447
878	3225	443
879	3228	440
880	3231	436
881	3234	432
882	3237	428
883	3240	425
884	3243	421
885	3246	417
886	3249	413
887	3252	410
888	3255	406
889	3258	402
890	3261	398
891	3264	395
892	3267	391
893	3270	387
894	3273	384
895	3276	380
896	3279	376
897	3282	372
898	3285	369
899	3288	365
900	3291	361
901	3294	357
902	3297	354
903	3300	350
904	3303	346
905	3306	343
906	3309	339
907	3312	335
908	3315	331
909	3318	328
910	3321	324
911	3324	320
912	3327	317
913	3330	313
914	3333	309
915	3336	305
916	3339	302
917	3342	298
918	3345	294
919	3348	291
920	3351	287
921	3354	283
922	3358	280
923	3361	276
924	3364	272
925	3367	269
926	3370	265
927	3373	261
928	3376	258
929	3379	254
930	3382	250
931	3385	247
932	3388	243
933	3391	239
934	3395	236
935	3397	232
936	3400	228
937	3404	225
938	3407	221
939	3410	217
940	3413	214
941	3416	210
942	3419	206
943	3422	203
944	3425	199
945	3428	195
946	3431	192
947	3434	188
948	3437	184
949	3440	181
950	3443	177
951	3446	173
952	3449	170
953	3452	166
954	3455	162
955	3458	159
956	3461	155
957	3464	151
958	3468	148
959	3471	144
960	3474	140
961	3477	137
962	3480	133
963	3483	130
964	3486	126
965	3489	122
966	3492	119
967	3494	115
968	3498	111
969	3500	108
970	3504	104
971	3507	101
972	3510	97
973	3513	93
974	3516	90
975	3520	86
976	3525	82
977	3529	79
978	3532	75
979	3535	72
980	3538	68
981	3541	64
982	3544	61
983	3547	57
984	3550	54
985	3553	50
986	3556	46
987	3559	43
988	3563	39
989	3566	36
990	3569	32
991	3571	28
992	3574	25
993	3578	21
994	3581	17
995	3584	14
996	3587	10
997	3590	7
998	3593	3
999	3596	0
